PageId,TagName,Tag Content
POTSALESET,POTSALESET_PROVIDE_VALID_NAME,Provide valid payment method
POTSALESET,POTSALESET_Reasons,Reasons
POTSALESET,POTSALESET_65,Payment Methods Setting
POTSALESET,POTSALESET_Store_Level_Discount_Restrictions,Store-Level Discount Restrictions
POTSALESET,POTSALESET_66,Invoice Print Settings
POTSALESET,POTSALESET_67,Tax Settings
POTSALESET,POTSALESET_61,Bill Number Setting
POTSALESET,POTSALESET_7,Select option to print in the invoice
POTSALESET,POTSALESET_ENTER_INVOICE_BILL_NUMBER,Enter invoice/bill number
POTSALESET,POTSALESET_Confirmation,Confirmation
POTSALESET,POTSALESET_62,Reset Interval
POTSALESET,POTSALESET_63,"For yearly Interval option, choose the starting month to reset"
POTSALESET,POTSALESET_5,chars remaining
POTSALESET,POTSALESET_64,Please select reset type
POTSALESET,POTSALESET_6,Invoice footer message 1
POTSALESET,POTSALESET_3,Invoice header message
POTSALESET,POTSALESET_4,Invoice footer message 2
POTSALESET,POTSALESET_Enable_Role_Level_Limits,Enable Role-Level Limits
POTSALESET,POTSALESET_1,Settings
POTSALESET,POTSALESET_Do_you_want_to_delete,Do you want to delete
POTSALESET,POTSALESET_60,Invoice name
POTSALESET,POTSALESET_2,Point of Sale
POTSALESET,POTSALESET_Reason_already_exists,This reason already exists
POTSALESET,POTSALESET_Apply_Highest_Limit,Apply Highest Limit
POTSALESET,SAMPLE_TAX_LABEL,Tax
POTSALESET,POTSALESET_User_Level_Discount_Restrictions,User-Level Discount Restrictions
POTSALESET,POTSALESET_SEPTEMBER,September
POTSALESET,POTSALESET_TAX_AMOUNT_IS_EXCLUDE_FROM,Tax amount is exclude from the unit price of any saleable item
POTSALESET,POTSALESET_INVOICE_PREVIEW_SETTINGS_UPDATED_SUCCESSFULLY,Invoice preview settings updated successfully
POTSALESET,GSTSETTINGACTIONCONFIRMNO,No
POTSALESET,POTSALESET_PRODUCT_TAX_AMOUNT_IS_INCLUDE_FROM,Tax amount is included from the unit price of any saleable item in product
POTSALESET,POTSALESET_Marked_payment_method,The marked payment method will be automatically selected at checkout
POTSALESET,POTSALESET_Item_price_adjustments_Desc,"Allow staff to adjust prices for selected items, such as services, products, and packages"
POTSALESET,POTSALESET_58,Exclude Tax
POTSALESET,POTSALESET_LOGO_CENTER,Display the logo at the top centre
POTSALESET,POTSALESET_59,Reset the invoice/bill sequence number to 1.
POTSALESET,POTSALESET_Payment_method_exists,Payment method already exists
POTSALESET,POTSALESET_54,No Records
POTSALESET,POTSALESET_NUMBER,number.
POTSALESET,POTSALESET_55,Update Tax Group
POTSALESET,POTSALESET_56,Add Payment Method
POTSALESET,POTSALESET_tax_amount_included_service,The tax amount is included in the cost of the saleable item
POTSALESET,POTSALESET_57,Include Tax
POTSALESET,POTSALESET_50,Invoice General Setting
POTSALESET,INVOICE_NAME,Invoice Receipt
POTSALESET,POTSALESET_Role_discount_limits_saved,Role discount limits saved
POTSALESET,POTSALESET_Yes,Yes
POTSALESET,POTSALESET_Users_will_not_be_able_to_apply_any_disc,Users will not be able to apply any discounts during checkout.
POTSALESET,POTSALESET_Error,"Internal server error, try again"
POTSALESET,SAMPLE_QUANTITY_COUNT,1
POTSALESET,POTSALESET_Role_restriction_status_updated,Role restriction status updated
POTSALESET,POTSALESET_Select_roles,Select roles
POTSALESET,GSTSETTINGLISTACTIVE,Active
POTSALESET,POTSALESET_47,Automate invoice/bill sequence
